"","Model","RMSE"
"607","Multiple Linear Regression",4616.72535674405
"608","Imputation Model",14153.315570061
"609","Gradient Boosting Machines",4128.15257182595
"610","Multiple Linear Regression",4583.20081908096
"611","Imputation Model",14244.5292908445
"612","Gradient Boosting Machines",4109.17320501429
"613","Multiple Linear Regression",4346.2509255884
"614","Imputation Model",14086.0667831358
"615","Gradient Boosting Machines",4082.04100581084
"616","Multiple Linear Regression",4484.38975553193
"617","Imputation Model",14090.2475694105
"618","Gradient Boosting Machines",4045.59150239085
"619","Multiple Linear Regression",4747.76674167883
"620","Imputation Model",14272.6915937024
"621","Gradient Boosting Machines",4336.89001908152
"622","Multiple Linear Regression",4622.75655515788
"623","Imputation Model",14161.2380128403
"624","Gradient Boosting Machines",4148.51228069284
"625","Multiple Linear Regression",4433.40624932237
"626","Imputation Model",14039.114132565
"627","Gradient Boosting Machines",4093.35394268003
"628","Multiple Linear Regression",4640.47774989349
"629","Imputation Model",14262.6501170136
"630","Gradient Boosting Machines",4266.06644422973
"631","Multiple Linear Regression",4703.46317786227
"632","Imputation Model",14232.2361330183
"633","Gradient Boosting Machines",4249.11819535734
"634","Multiple Linear Regression",4379.85409338457
"635","Imputation Model",14100.6632340645
"636","Gradient Boosting Machines",4158.32094401219
"637","Multiple Linear Regression",4417.53323535016
"638","Imputation Model",13976.1069051081
"639","Gradient Boosting Machines",4024.07429814896
"640","Multiple Linear Regression",4487.59763491548
"641","Imputation Model",14094.2679715969
"642","Gradient Boosting Machines",4177.4430772037
"643","Multiple Linear Regression",4779.03640302683
"644","Imputation Model",14288.9177323228
"645","Gradient Boosting Machines",4316.63482442258
"646","Multiple Linear Regression",4703.9895775296
"647","Imputation Model",14159.3455851958
"648","Gradient Boosting Machines",4260.99990278826
"649","Multiple Linear Regression",4474.9607823911
"650","Imputation Model",14137.0602084334
"651","Gradient Boosting Machines",4073.44321807702
"652","Multiple Linear Regression",4583.66762982236
"653","Imputation Model",14093.6141749843
"654","Gradient Boosting Machines",4132.38770288056
